:help keyword,open help for keyword
:saveas file,save file as
:close,close pane
K,open main page for word under curser
h,move left
j,move down
k,move up
l,move right
H,top of screen
M,middle of screen
L,bottom of screen
w,jump forward to start of word
W,jump forward to start of word with punctuation
e,jump forwards to end of word
"E
",jump forwards to end of word with punctuation
b,"jump backwards to the start of word
"
B,"jump backwards to the start of word
 with punctuation"
%,"move to matching character (default supported pairs: '()', '{}', '[]' - use :h matchpairs in vim for more info) "
O,jump to the start of the line
^,jump to the first non-blank character of the line
$,jump to the end of the line 
g_,jump to the last non-blank character of the line
gg,go to the first line of the document
G,go to the last line of the document
5G,go to line 5
fx,jump to next occurrence of character x
tx,jump to before next occurrence of character x
Fx,jump to previous occurence of character x
Tx,jump to after previous occurence of character x
;,"repeat previous f, t, F or T movement"
",","repeat previous f, t, F or T movement, backwards"
},"jump to next paragraph (or function/block, when editing code)"
{,"jump to previous paragraph (or function/block, when editing code)"
zz,center cursor on screen
Ctrl + e,move screen down one line (without moving cursor)
Ctrl + y,move screen up one line (without moving cursor)
Ctrl + b,move back one full screen
Ctrl + f,move forward one full screen
Ctrl + d,move forward 1/2 a screen
Ctrl + u,move back 1/2 a screen